doc_id,source_file,source_type,symbol,topic,section,status,side,notional_value,text
AUDIT_008,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,mock_llm_examples,reject,BUY,800000.0,"Audit scenario mock_llm_examples for BUY TSLA notional 800,000 (800k): status reject. Reason: Tail-loss probability 8.94% exceeds limit 5.00%. VaR_95 98,222.39, CVaR_95 122,872.24, tail probability 0.0894, max symbol weight 0.4200, gross exposure multiple 1.2500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_009,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,GME,distributional_shield_decision,mock_llm_examples,reject,BUY,50000.0,"Audit scenario mock_llm_examples for BUY GME notional 50,000 (50k): status reject. Reason: Symbol GME is restricted. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK."
AUDIT_010,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,mock_llm_examples,allow,SELL,200000.0,"Audit scenario mock_llm_examples for SELL TSLA notional 200,000 (200k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 45,042.70, CVaR_95 56,290.67, tail probability 0.0019, max symbol weight 0.2600, gross exposure multiple 0.8500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_011,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,UNKNOWN,distributional_shield_decision,mock_llm_examples,reject,BUY,0.0,"Audit scenario mock_llm_examples for BUY UNKNOWN notional 0: status reject. Reason: Symbol UNKNOWN is outside the approved risk universe. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK."
AUDIT_012,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,soft_escalation_policy,escalate,BUY,800000.0,"Audit scenario soft_escalation_policy for BUY TSLA notional 800,000 (800k): status escalate. Reason: CVaR 95% $122,872.24 exceeds limit $95,000.00. VaR_95 98,222.39, CVaR_95 122,872.24, tail probability 0.0060, max symbol weight 0.4200, gross exposure multiple 1.2500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_013,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,institutional_checks,reject,BUY,600000.0,"Audit scenario institutional_checks for BUY AAPL notional 600,000 (600k): status reject. Reason: Single-symbol exposure 50.00% exceeds limit 45.00%. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK."
AUDIT_014,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,institutional_checks,reject,SELL,500000.0,"Audit scenario institutional_checks for SELL TSLA notional 500,000 (500k): status reject. Reason: SELL TSLA would take TSLA exposure to $-250,000 under a long-only policy. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK."
AUDIT_015,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,HY_CDS,distributional_shield_decision,institutional_checks,escalate,BUY,500000.0,"Audit scenario institutional_checks for BUY HY_CDS notional 500,000 (500k): status escalate. Reason: Trade consumes 25.00% of ADV, above limit 15.00%. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK."
AUDIT_016,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TLT,distributional_shield_decision,institutional_checks,reject,BUY,2000000.0,"Audit scenario institutional_checks for BUY TLT notional 2,000,000 (2m): status reject. Reason: Gross exposure multiple 1.73 exceeds limit 1.60. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK."
AUDIT_017,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,buy_vs_sell,reject,BUY,800000.0,"Audit scenario buy_vs_sell for BUY TSLA notional 800,000 (800k): status reject. Reason: Tail-loss probability 8.94% exceeds limit 5.00%. VaR_95 98,222.39, CVaR_95 122,872.24, tail probability 0.0894, max symbol weight 0.4200, gross exposure multiple 1.2500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_018,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,buy_vs_sell,allow,SELL,200000.0,"Audit scenario buy_vs_sell for SELL TSLA notional 200,000 (200k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 45,042.70, CVaR_95 56,290.67, tail probability 0.0019, max symbol weight 0.2600, gross exposure multiple 0.8500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_019,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,NVDA,distributional_shield_decision,option_delta,reject,BUY,600000.0,"Audit scenario option_delta for BUY NVDA notional 600,000 (600k): status reject. Reason: Tail-loss probability 5.36% exceeds limit 5.00%. VaR_95 81,685.43, CVaR_95 102,283.88, tail probability 0.0536, max symbol weight 0.3200, gross exposure multiple 1.1700. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_020,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,NVDA,distributional_shield_decision,option_delta,allow,BUY,600000.0,"Audit scenario option_delta for BUY NVDA notional 600,000 (600k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 61,965.75, CVaR_95 77,483.26, tail probability 0.0164, max symbol weight 0.2600, gross exposure multiple 1.0020. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_021,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,EURUSD,distributional_shield_decision,multi_asset_examples,allow,BUY,750000.0,"Audit scenario multi_asset_examples for BUY EURUSD notional 750,000 (750k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 54,788.78, CVaR_95 68,792.47, tail probability 0.0080, max symbol weight 0.3400, gross exposure multiple 1.2300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_022,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,HY_CDS,distributional_shield_decision,multi_asset_examples,allow,BUY,300000.0,"Audit scenario multi_asset_examples for BUY HY_CDS notional 300,000 (300k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 51,858.73, CVaR_95 65,030.01, tail probability 0.0059, max symbol weight 0.2600, gross exposure multiple 0.9700. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_023,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,US10Y,distributional_shield_decision,multi_asset_examples,allow,BUY,400000.0,"Audit scenario multi_asset_examples for BUY US10Y notional 400,000 (400k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 53,917.91, CVaR_95 67,868.56, tail probability 0.0074, max symbol weight 0.2600, gross exposure multiple 1.0900. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_024,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,OIL,distributional_shield_decision,multi_asset_examples,allow,BUY,600000.0,"Audit scenario multi_asset_examples for BUY OIL notional 600,000 (600k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 64,847.16, CVaR_95 81,047.00, tail probability 0.0202, max symbol weight 0.2700, gross exposure multiple 1.1700. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_025,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,basket_rebalance,allow,SELL,150000.0,"Audit scenario basket_rebalance for SELL TSLA notional 150,000 (150k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 47,163.48, CVaR_95 59,007.26, tail probability 0.0030, max symbol weight 0.2600, gross exposure multiple 0.8700. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_026,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TLT,distributional_shield_decision,basket_rebalance,allow,BUY,200000.0,"Audit scenario basket_rebalance for BUY TLT notional 200,000 (200k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 46,936.80, CVaR_95 58,674.85, tail probability 0.0027, max symbol weight 0.2600, gross exposure multiple 0.9500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_027,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,MSFT,distributional_shield_decision,basket_rebalance,allow,BUY,100000.0,"Audit scenario basket_rebalance for BUY MSFT notional 100,000 (100k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 49,269.28, CVaR_95 61,528.43, tail probability 0.0038, max symbol weight 0.2600, gross exposure multiple 0.9900. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_028,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,HY_CDS,distributional_shield_decision,basket_rebalance,allow,BUY,100000.0,"Audit scenario basket_rebalance for BUY HY_CDS notional 100,000 (100k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 48,485.93, CVaR_95 60,569.94, tail probability 0.0033, max symbol weight 0.2600, gross exposure multiple 0.9500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_029,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,stress_regimes,allow,BUY,250000.0,"Audit scenario stress_regimes for BUY AAPL notional 250,000 (250k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 61,492.20, CVaR_95 77,329.94, tail probability 0.0165, max symbol weight 0.3600, gross exposure multiple 1.0300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_030,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,stress_regimes,reject,BUY,250000.0,"Audit scenario stress_regimes for BUY AAPL notional 250,000 (250k): status reject. Reason: Tail-loss probability 14.31% exceeds limit 5.00%. VaR_95 122,984.41, CVaR_95 154,659.87, tail probability 0.1431, max symbol weight 0.3600, gross exposure multiple 1.0300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_031,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,stress_regimes,allow,BUY,250000.0,"Audit scenario stress_regimes for BUY AAPL notional 250,000 (250k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 56,782.31, CVaR_95 84,835.80, tail probability 0.0193, max symbol weight 0.3600, gross exposure multiple 1.0300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_032,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,schema_validation,schema_reject,,,"Audit scenario schema_validation for  AAPL notional n/a: status schema_reject. Reason: Input should be greater than or equal to 0 VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
AUDIT_033,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,schema_validation,schema_reject,,,"Audit scenario schema_validation for  AAPL notional n/a: status schema_reject. Reason: Input should be 'BUY' or 'SELL' VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
AUDIT_034,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,schema_validation,schema_reject,,,"Audit scenario schema_validation for  AAPL notional n/a: status schema_reject. Reason: Extra inputs are not permitted VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
AUDIT_035,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,portfolio_state,distributional_shield_decision,schema_validation,state_reject,,,"Audit scenario schema_validation for  portfolio_state notional n/a: status state_reject. Reason: Value error, Covariance matrix column count must match number of symbols. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
AUDIT_036,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,US10Y,distributional_shield_decision,dv01_checks,allow,,20000000.0,"Audit scenario dv01_checks for  US10Y notional 20,000,000 (20m): status allow. Reason: DV01 and stress-loss checks passed. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
AUDIT_037,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,US10Y,distributional_shield_decision,dv01_checks,escalate,,50000000.0,"Audit scenario dv01_checks for  US10Y notional 50,000,000 (50m): status escalate. Reason: Absolute DV01 $67,000 exceeds escalation threshold $50,000. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: ."
COMMITTEE_000,agentic_finance_multiagent_decision_log.csv,committee_decision,MSFT,multi_agent_governance,committee_final_status,allow,BUY,75000.0,"Committee decision f33b44bf for BUY MSFT notional 75,000 (75k): consensus status allow, final status allow. Consensus reason: Committee support and distributional shield approval are aligned. Final reason: Approved by multi-agent committee and distributional shield. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 55,838.97, CVaR_95 69,975.29, tail probability 0.0090."
COMMITTEE_001,agentic_finance_multiagent_decision_log.csv,committee_decision,NVDA,multi_agent_governance,committee_final_status,escalate,BUY,300000.0,"Committee decision 87e95c91 for BUY NVDA notional 300,000 (300k): consensus status escalate, final status escalate. Consensus reason: The action is not blocked, but one or more agents require human PM review. Final reason: Escalated by governance/shield: The action is not blocked, but one or more agents require human PM review. Shield reason: All deterministic and distributional checks passed. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 67,243.03, CVaR_95 84,310.38, tail probability 0.0246."
COMMITTEE_002,agentic_finance_multiagent_decision_log.csv,committee_decision,GME,multi_agent_governance,committee_final_status,reject,BUY,50000.0,"Committee decision baddba10 for BUY GME notional 50,000 (50k): consensus status reject, final status reject. Consensus reason: At least one hard gate rejected the action; the committee fails closed. Final reason: Rejected by governance/shield: At least one hard gate rejected the action; the committee fails closed. Shield reason: Symbol GME is restricted. Shield status reject because Symbol GME is restricted.. Risk metrics: VaR_95 n/a, CVaR_95 n/a, tail probability n/a."
COMMITTEE_003,agentic_finance_multiagent_decision_log.csv,committee_decision,TLT,multi_agent_governance,committee_final_status,allow,BUY,175000.0,"Committee decision 9f4b6fcd for BUY TLT notional 175,000 (175k): consensus status allow, final status allow. Consensus reason: Committee support and distributional shield approval are aligned. Final reason: Approved by multi-agent committee and distributional shield. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 53,995.56, CVaR_95 67,448.60, tail probability 0.0070."
