session_id,symbol,side,original_notional_value,negotiated_notional_value,round_index,role,agent_name,vote,proposed_notional_value,confidence,reason,term_compliance_review,term_max_adv_fraction,term_adv_notional,term_max_liquid_notional,term_risk_status,diagnostic_VaR_95,diagnostic_CVaR_95,diagnostic_P_loss_gt_limit,diagnostic_max_symbol_weight_after,diagnostic_gross_exposure_multiple_after,term_execution_style,term_child_order_count,term_max_participation_rate,diagnostic_trade_adv_fraction,term_max_distributional_notional,diagnostic_original_shield_status,diagnostic_negotiated_shield_status,term_hard_block,term_manual_liquidity_review
7d629bdc,NVDA,BUY,650000.0,565459.594130516,2,risk,DistributionalRiskNegotiator,escalate,565459.5604264978,0.95,Risk found only an escalated notional; human approval is required.,,,,,,80000.67085636461,100160.23193394848,0.05,0.30618382417059914,1.156183824170599,,,,,565459.5604264978,escalate,escalate,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,2,portfolio_manager,ExecutionNegotiator,accept,565459.594130516,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,4.712163284420967e-05,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,1,compliance,ComplianceNegotiator,accept,500000.0,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,1,risk,LiquidityNegotiator,accept,500000.0,0.9,Liquidity accepts the requested size.,,0.15,10000000000.0,1500000000.0,,,,,,,,,,,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,1,risk,DistributionalRiskNegotiator,escalate,484637.23063468933,0.95,Risk found only an escalated notional; human approval is required.,,,,,,80000.25568420487,100226.15332516434,0.05,0.29385489225387573,1.1238548922538758,,,,,484637.23063468933,reject,escalate,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,1,portfolio_manager,ExecutionNegotiator,accept,500000.0,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,5e-05,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,2,compliance,ComplianceNegotiator,accept,484637.23063468933,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,2,risk,LiquidityNegotiator,accept,484637.23063468933,0.9,Liquidity accepts the requested size.,,0.15,10000000000.0,1500000000.0,,,,,,,,,,,,,,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,2,risk,DistributionalRiskNegotiator,escalate,484637.20174805936,0.95,Risk found only an escalated notional; human approval is required.,,,,,,80000.25387003871,100226.15128296368,0.05,0.2938548806992237,1.1238548806992237,,,,,484637.20174805936,escalate,escalate,,
0aeb200f,TSLA,BUY,500000.0,484637.23063468933,2,portfolio_manager,ExecutionNegotiator,accept,484637.23063468933,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,4.8463723063468935e-05,,,,,
4a18ba4a,GME,BUY,50000.0,0.0,1,compliance,ComplianceNegotiator,reject,0.0,1.0,GME is restricted; no negotiated size is admissible.,,,,,,,,,,,,,,,,,,restricted_list,
4a18ba4a,GME,BUY,50000.0,0.0,1,risk,LiquidityNegotiator,escalate,50000.0,0.65,No ADV estimate is available; liquidity must be manually reviewed.,,,,,,,,,,,,,,,,,,,True
4a18ba4a,GME,BUY,50000.0,0.0,1,risk,DistributionalRiskNegotiator,reject,0.0,0.96,No economically meaningful notional survives the distributional risk shield.,,,,,,,,,,,,,,,,reject,reject,distributional_risk,
4a18ba4a,GME,BUY,50000.0,0.0,1,portfolio_manager,ExecutionNegotiator,accept,50000.0,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,,,,,,
5af0b0c5,TLT,BUY,250000.0,250000.0,1,compliance,ComplianceNegotiator,accept,250000.0,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
5af0b0c5,TLT,BUY,250000.0,250000.0,1,risk,LiquidityNegotiator,accept,250000.0,0.9,Liquidity accepts the requested size.,,0.15,2000000000.0,300000000.0,,,,,,,,,,,,,,,
5af0b0c5,TLT,BUY,250000.0,250000.0,1,risk,DistributionalRiskNegotiator,accept,250000.0,0.96,Distributional risk accepts the current notional.,,,,,allow,53849.35881345091,67353.7500568196,0.0072,0.26,1.03,,,,,,,,,
5af0b0c5,TLT,BUY,250000.0,250000.0,1,portfolio_manager,ExecutionNegotiator,accept,250000.0,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,0.000125,,,,,
