query_id,rank,doc_id,source_file,source_type,symbol,topic,section,retrieval_score,text
Q002,5,AUDIT_020,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,NVDA,distributional_shield_decision,option_delta,0.0,"Audit scenario option_delta for BUY NVDA notional 600000: status allow. Reason: All deterministic and distributional checks passed. VaR_95 61965.75, CVaR_95 77483.26, tail probability 0.0164, max symbol weight 0.2600, gross exposure multiple 1.0020. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK."
Q002,6,AUDIT_021,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,EURUSD,distributional_shield_decision,multi_asset_examples,0.0,"Audit scenario multi_asset_examples for BUY EURUSD notional 750000: status allow. Reason: All deterministic and distributional checks passed. VaR_95 54788.78, CVaR_95 68792.47, tail probability 0.0080, max symbol weight 0.3400, gross exposure multiple 1.2300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK."
Q003,1,OFFER_033,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,HY_CDS,round_by_round_negotiation,round_2,0.18575691103507852,Negotiation offer round 2 in session 60fe69f3 for HY_CDS: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 999999.94. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q003,2,OFFER_029,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,HY_CDS,round_by_round_negotiation,round_1,0.14483210952067016,Negotiation offer round 1 in session 60fe69f3 for HY_CDS: agent LiquidityNegotiator role risk voted counter with confidence 0.9. Proposed notional 3750000.00. Reason: Liquidity counteroffers a smaller notional based on ADV limits. Execution style nan; hard block nan; kill switch nan.
Q003,3,NEGOTIATOR_003,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,GME,agent_negotiator_outcome,final_negotiated_terms,0.13830897040780327,"Negotiation session d27eb5ca for BUY GME: original notional 50000, negotiated notional 0.00, reduction 50000.00, negotiation status rejected, final status reject. Negotiation reason: At least one negotiation agent issued a hard reject. Final reason: Negotiation failed closed or the final distributional shield rejected the proposal. Shield status reject because Symbol GME is restricted.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 nan, CVaR_95 nan, tail probability nan."
Q003,4,OFFER_035,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,HY_CDS,round_by_round_negotiation,round_2,0.12337906508892278,Negotiation offer round 2 in session 60fe69f3 for HY_CDS: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 999999.94. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q003,5,OFFER_013,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TSLA,round_by_round_negotiation,round_1,0.12271479979945553,Negotiation offer round 1 in session 48401c02 for TSLA: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 500000.00. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q003,6,OFFER_005,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,NVDA,round_by_round_negotiation,round_1,0.12158694926886099,Negotiation offer round 1 in session 909a0928 for NVDA: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 650000.00. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q004,1,NEGOTIATOR_001,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,NVDA,agent_negotiator_outcome,final_negotiated_terms,0.22901182700603803,"Negotiation session 909a0928 for BUY NVDA: original notional 650000, negotiated notional 565459.59, reduction 84540.41, negotiation status escalated, final status escalate. Negotiation reason: At least one negotiation agent requires human approval. Final reason: Negotiated terms are conditionally acceptable but require human approval or final shield escalation. Shield status escalate because CVaR 95% $100,160.23 exceeds limit $95,000.00.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 80000.67, CVaR_95 100160.23, tail probability 0.0500."
Q004,2,NEGOTIATOR_002,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,TSLA,agent_negotiator_outcome,final_negotiated_terms,0.19579174187530207,"Negotiation session 48401c02 for BUY TSLA: original notional 500000, negotiated notional 484637.23, reduction 15362.77, negotiation status escalated, final status escalate. Negotiation reason: At least one negotiation agent requires human approval. Final reason: Negotiated terms are conditionally acceptable but require human approval or final shield escalation. Shield status escalate because CVaR 95% $100,226.15 exceeds limit $95,000.00.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 80000.26, CVaR_95 100226.15, tail probability 0.0500."
Q004,3,NEGOTIATOR_004,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,TLT,agent_negotiator_outcome,final_negotiated_terms,0.1592233063702462,"Negotiation session 838ef920 for BUY TLT: original notional 250000, negotiated notional 250000.00, reduction 0.00, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 53849.36, CVaR_95 67353.75, tail probability 0.0072."
Q004,4,NEGOTIATOR_000,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,MSFT,agent_negotiator_outcome,final_negotiated_terms,0.1580875757129244,"Negotiation session 11f2ebe7 for BUY MSFT: original notional 120000, negotiated notional 120000.00, reduction 0.00, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 56889.62, CVaR_95 71273.24, tail probability 0.0098."
Q004,5,NEGOTIATOR_005,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,HY_CDS,agent_negotiator_outcome,final_negotiated_terms,0.15743535548924464,"Negotiation session 60fe69f3 for BUY HY_CDS: original notional 5000000, negotiated notional 999999.94, reduction 4000000.06, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 48384.28, CVaR_95 60494.51, tail probability 0.0038."
Q004,6,COMMITTEE_001,agentic_finance_multiagent_decision_log.csv,committee_decision,NVDA,multi_agent_governance,committee_final_status,0.13811811169426788,"Committee decision 71f5f292 for BUY NVDA notional 300000: consensus status escalate, final status escalate. Consensus reason: The action is not blocked, but one or more agents require human PM review. Final reason: Escalated by governance/shield: The action is not blocked, but one or more agents require human PM review. Shield reason: All deterministic and distributional checks passed. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 67243.03, CVaR_95 84310.38, tail probability 0.0246."
Q005,1,OFFER_015,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TSLA,round_by_round_negotiation,round_1,0.09616354309225807,Negotiation offer round 1 in session 48401c02 for TSLA: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 500000.00. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q005,2,OFFER_007,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,NVDA,round_by_round_negotiation,round_1,0.09536367675817126,Negotiation offer round 1 in session 909a0928 for NVDA: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 650000.00. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q005,3,OFFER_027,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TLT,round_by_round_negotiation,round_1,0.0949075154379029,Negotiation offer round 1 in session 838ef920 for TLT: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 250000.00. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q005,4,OFFER_035,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,HY_CDS,round_by_round_negotiation,round_2,0.09477307509849445,Negotiation offer round 2 in session 60fe69f3 for HY_CDS: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 999999.94. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q005,5,OFFER_019,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TSLA,round_by_round_negotiation,round_2,0.09441793915087647,Negotiation offer round 2 in session 48401c02 for TSLA: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 484637.23. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q005,6,OFFER_011,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,NVDA,round_by_round_negotiation,round_2,0.0940849471956962,Negotiation offer round 2 in session 909a0928 for NVDA: agent ExecutionNegotiator role portfolio_manager voted accept with confidence 0.8. Proposed notional 565459.59. Reason: Execution accepts the negotiated notional with standard controls. Execution style standard_limit_or_vwap; hard block nan; kill switch nan.
Q006,1,M004,README.md,rag_policy,,evidence_policy,rag_grounding,0.4602142815324477,"An agentic RAG answer should cite retrieved audit rows, committee decisions, negotiator outcomes or modeling assumptions. If evidence is weak, contradictory or missing, the answer must escalate rather than invent a trade recommendation."
Q006,2,OFFER_013,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TSLA,round_by_round_negotiation,round_1,0.011442701260039342,Negotiation offer round 1 in session 48401c02 for TSLA: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 500000.00. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q006,3,OFFER_005,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,NVDA,round_by_round_negotiation,round_1,0.011337533369054222,Negotiation offer round 1 in session 909a0928 for NVDA: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 650000.00. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q006,4,OFFER_025,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TLT,round_by_round_negotiation,round_1,0.01127768030625487,Negotiation offer round 1 in session 838ef920 for TLT: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 250000.00. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q006,5,OFFER_033,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,HY_CDS,round_by_round_negotiation,round_2,0.011260057387791062,Negotiation offer round 2 in session 60fe69f3 for HY_CDS: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 999999.94. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
Q006,6,OFFER_017,agentic_finance_agent_negotiator_shield_offers.csv,negotiation_offer,TSLA,round_by_round_negotiation,round_2,0.011213542025316277,Negotiation offer round 2 in session 48401c02 for TSLA: agent LiquidityNegotiator role risk voted accept with confidence 0.9. Proposed notional 484637.23. Reason: Liquidity accepts the requested size. Execution style nan; hard block nan; kill switch nan.
