scenario_set,audit_id,status,reason,symbol,side,asset_class,notional_value,VaR_95,CVaR_95,P_loss_gt_limit,Expected_loss,Loss_std,Max_symbol_weight_after,Gross_exposure_multiple_after,Trade_ADV_fraction,Stress_label,Distribution,Stress_multiplier,rules
mock_llm_examples,15740e8a,allow,All deterministic and distributional checks passed.,TSLA,SELL,equity,200000.0,45042.70339958709,56290.67423442598,0.00192,62.176780456139426,27458.328715239477,0.26,0.85,2e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
mock_llm_examples,4b87283c,reject,Symbol UNKNOWN is outside the approved risk universe.,UNKNOWN,BUY,equity,10000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK
soft_escalation_policy,848b4012,escalate,"CVaR 95% $122,872.24 exceeds limit $95,000.00.",TSLA,BUY,equity,800000.0,98222.38549337994,122872.23617916953,0.00604,205.91994551551394,59919.13675629387,0.42,1.25,8e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
institutional_checks,385c2dc0,reject,Single-symbol exposure 50.00% exceeds limit 45.00%.,AAPL,BUY,equity,600000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK
institutional_checks,2ca12abc,reject,Trade would create a short position under a long-only policy.,TSLA,SELL,equity,500000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK
institutional_checks,d5fcdd57,escalate,"Trade consumes 25.00% of ADV, above limit 15.00%.",HY_CDS,BUY,cds,500000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK
institutional_checks,331e187b,reject,Gross exposure multiple 1.73 exceeds limit 1.60.,TLT,BUY,etf,2000000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK
buy_vs_sell,976105aa,reject,Tail-loss probability 8.94% exceeds limit 5.00%.,TSLA,BUY,equity,800000.0,98222.38549337994,122872.23617916953,0.08936,205.91994551551394,59919.13675629387,0.42,1.25,8e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
buy_vs_sell,e02b48a1,allow,All deterministic and distributional checks passed.,TSLA,SELL,equity,200000.0,45042.70339958709,56290.67423442598,0.00192,62.176780456139426,27458.328715239477,0.26,0.85,2e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
option_delta,bbe338fb,reject,Tail-loss probability 5.36% exceeds limit 5.00%.,NVDA,BUY,equity,600000.0,81685.4260788162,102283.87597624962,0.0536,181.6287323026309,49921.39274381829,0.32,1.17,5e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
option_delta,3e8e448d,allow,All deterministic and distributional checks passed.,NVDA,BUY,option,600000.0,61965.74998138196,77483.26383108586,0.01636,118.13640911839933,37743.23621225366,0.26,1.002,5e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
multi_asset_examples,e4bf859e,allow,All deterministic and distributional checks passed.,EURUSD,BUY,fx,750000.0,54788.77939493444,68792.46558942006,0.00796,96.88850082687047,33570.698276305506,0.34,1.23,1.25e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
multi_asset_examples,2269480d,allow,All deterministic and distributional checks passed.,HY_CDS,BUY,cds,300000.0,51858.733358793994,65030.01225818477,0.00588,88.08942576251725,31652.559929006893,0.26,0.97,0.012,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
multi_asset_examples,9eec5de1,allow,All deterministic and distributional checks passed.,US10Y,BUY,risk_factor,400000.0,53917.90513664419,67868.56127850206,0.00744,123.19006079114314,32998.65313623229,0.26,1.09,0.0001,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
multi_asset_examples,cf1a27f2,allow,All deterministic and distributional checks passed.,OIL,BUY,commodity,600000.0,64847.16149208365,81046.99730999672,0.02016,96.95024606942535,39534.68545144556,0.27,1.17,0.0006,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
basket_rebalance,c5e03ef3,allow,All deterministic and distributional checks passed.,TSLA,SELL,equity,150000.0,47163.47652758653,59007.25537327757,0.00296,69.36393870910813,28762.568851199558,0.26,0.87,1.5e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
basket_rebalance,6d7ed6b2,allow,All deterministic and distributional checks passed.,TLT,BUY,etf,200000.0,46936.80342130428,58674.845202124976,0.00272,64.62821288363729,28636.554731542994,0.26,0.95,0.0001,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
basket_rebalance,b9bf954f,allow,All deterministic and distributional checks passed.,MSFT,BUY,equity,100000.0,49269.281175187316,61528.425575077534,0.00384,55.03424504600983,30030.081153128456,0.26,0.99,1.6666666666666667e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
basket_rebalance,0fd36e4e,allow,All deterministic and distributional checks passed.,HY_CDS,BUY,cds,100000.0,48485.92562545635,60569.9417863147,0.00332,54.08891581084417,29557.32248710833,0.26,0.95,0.004,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
stress_regimes,c45f5134,allow,All deterministic and distributional checks passed.,AAPL,BUY,equity,250000.0,62120.555713813184,77950.80916362147,0.01764,255.44434399192713,37456.20230336107,0.36,1.03,3.125e-05,normal_covariance,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
stress_regimes,a5360ed5,reject,Tail-loss probability 14.38% exceeds limit 5.00%.,AAPL,BUY,equity,250000.0,124241.11142762637,155901.61832724293,0.1438,510.88868798385425,74912.40460672214,0.36,1.03,3.125e-05,crisis_4x_covariance,normal,4.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
stress_regimes,92eb4f61,escalate,"CVaR 95% $117,147.27 exceeds limit $95,000.00.",AAPL,BUY,equity,250000.0,78978.09259434261,117147.27046840715,0.04836,364.72406842668215,51853.330784291014,0.36,1.03,3.125e-05,student_t_df4,student_t,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
